"275,692;""129"";""29 เม.ย.2015 05:00"";""7.7"";""5.5"";""185.0"";""30.9"";""74.0"";""ปกติ"""
"275,808;""129"";""29 เม.ย.2015 06:00"";""7.7"";""5.4"";""186.0"";""30.8"";""74.0"";""ปกติ"""
"275,923;""129"";""29 เม.ย.2015 07:00"";""7.7"";""5.4"";""186.0"";""30.9"";""78.0"";""ปกติ"""
"276,039;""129"";""29 เม.ย.2015 08:00"";""7.7"";""5.4"";""185.0"";""31.1"";""79.0"";""ปกติ"""
"276,156;""129"";""29 เม.ย.2015 09:00"";""7.7"";""5.5"";""184.0"";""31.3"";""79.0"";""ปกติ"""
"276,273;""129"";""29 เม.ย.2015 10:00"";""7.7"";""5.5"";""183.0"";""31.6"";""80.0"";""ปกติ"""
"276,387;""129"";""29 เม.ย.2015 11:00"";""7.7"";""5.6"";""182.0"";""32.0"";""82.0"";""ปกติ"""
"276,504;""129"";""29 เม.ย.2015 12:00"";""7.7"";""5.5"";""180.0"";""32.2"";""85.0"";""ปกติ"""
"276,619;""129"";""29 เม.ย.2015 13:00"";""7.7"";""5.4"";""179.0"";""32.4"";""86.0"";""ปกติ"""
"276,734;""129"";""29 เม.ย.2015 14:00"";""7.7"";""5.4"";""179.0"";""32.4"";""86.0"";""ปกติ"""
"276,850;""129"";""29 เม.ย.2015 15:00"";""7.7"";""5.5"";""178.0"";""32.4"";""87.0"";""ปกติ"""
"276,968;""129"";""29 เม.ย.2015 16:00"";""7.7"";""5.4"";""178.0"";""32.3"";""91.0"";""ปกติ"""
"277,085;""129"";""29 เม.ย.2015 17:00"";""7.7"";""5.5"";""177.0"";""32.1"";""94.0"";""ปกติ"""
"277,203;""129"";""29 เม.ย.2015 18:00"";""7.7"";""5.6"";""177.0"";""31.8"";""91.0"";""ปกติ"""
"277,322;""129"";""29 เม.ย.2015 19:00"";""7.7"";""5.6"";""178.0"";""31.7"";""89.0"";""ปกติ"""
"277,440;""129"";""29 เม.ย.2015 20:00"";""7.7"";""5.7"";""178.0"";""31.5"";""89.0"";""ปกติ"""
"277,558;""129"";""29 เม.ย.2015 21:00"";""7.7"";""5.7"";""178.0"";""31.5"";""84.0"";""ปกติ"""
"277,676;""129"";""29 เม.ย.2015 22:00"";""7.7"";""5.7"";""178.0"";""31.5"";""80.0"";""ปกติ"""
"277,792;""129"";""29 เม.ย.2015 23:00"";""7.7"";""5.9"";""179.0"";""31.5"";""80.0"";""ปกติ"""
"277,908;""129"";""30 เม.ย.2015 00:00"";""7.7"";""6.0"";""179.0"";""31.5"";""82.0"";""ปกติ"""
"278,026;""129"";""30 เม.ย.2015 01:00"";""7.7"";""5.9"";""179.0"";""31.5"";""81.0"";""ปกติ"""
"278,144;""129"";""30 เม.ย.2015 02:00"";""7.7"";""5.9"";""179.0"";""31.4"";""81.0"";""ปกติ"""
"278,261;""129"";""30 เม.ย.2015 03:00"";""7.7"";""5.8"";""179.0"";""31.3"";""82.0"";""ปกติ"""
"278,379;""129"";""30 เม.ย.2015 04:00"";""7.7"";""5.8"";""180.0"";""31.2"";""81.0"";""ปกติ"""
"278,497;""129"";""30 เม.ย.2015 05:00"";""7.7"";""5.8"";""181.0"";""31.2"";""81.0"";""ปกติ"""
