หมายเลข,วันที่-เวลา,DO,EC,T,Tb,สถานะ
111,7 เม.ย.2015 13:30,5.9,176.1,33.3,-,ปกติ
111,7 เม.ย.2015 14:00,5.9,175.7,33.8,-,ปกติ
111,7 เม.ย.2015 14:30,5.9,175.5,34.3,-,ปกติ
111,7 เม.ย.2015 15:00,5.7,175.1,34.8,-,ปกติ
111,7 เม.ย.2015 15:30,5.7,174.6,35.4,-,ปกติ
111,7 เม.ย.2015 16:00,5.7,174.3,36.0,-,ปกติ
111,7 เม.ย.2015 16:30,5.7,174.9,36.3,-,ปกติ
111,7 เม.ย.2015 17:00,5.7,175.4,36.5,-,ปกติ
111,7 เม.ย.2015 17:30,5.7,175.7,36.4,-,ปกติ
111,7 เม.ย.2015 18:00,5.7,176.4,36.2,-,ปกติ
111,7 เม.ย.2015 18:30,5.7,178.5,35.8,-,ปกติ
111,7 เม.ย.2015 19:00,5.7,182.5,35.4,-,ปกติ
111,7 เม.ย.2015 19:30,5.7,185.6,34.9,-,ปกติ
111,7 เม.ย.2015 20:00,5.7,187.2,34.4,-,ปกติ
111,7 เม.ย.2015 20:30,5.6,189.3,34.0,-,ปกติ
111,7 เม.ย.2015 21:00,5.7,191.2,33.6,-,ปกติ
111,7 เม.ย.2015 21:30,5.6,191.1,33.4,-,ปกติ
111,7 เม.ย.2015 22:00,5.7,188.8,33.0,-,ปกติ
111,7 เม.ย.2015 22:30,5.6,186.9,32.7,-,ปกติ
111,7 เม.ย.2015 23:00,5.7,187.1,32.4,-,ปกติ
111,7 เม.ย.2015 23:30,5.7,188.3,32.1,-,ปกติ
111,8 เม.ย.2015 00:00,5.6,186.4,31.7,-,ปกติ
111,8 เม.ย.2015 00:30,5.6,187.4,31.5,-,ปกติ
111,8 เม.ย.2015 01:00,5.7,187.7,31.3,-,ปกติ
111,8 เม.ย.2015 01:30,5.7,188.2,31.1,-,ปกติ
111,8 เม.ย.2015 02:00,5.7,187.7,30.9,-,ปกติ
111,8 เม.ย.2015 02:30,5.7,188.1,30.7,-,ปกติ
111,8 เม.ย.2015 03:00,5.6,187.7,30.4,-,ปกติ
111,8 เม.ย.2015 03:30,5.7,187.6,30.3,-,ปกติ
111,8 เม.ย.2015 04:00,5.7,187.2,30.1,-,ปกติ
111,8 เม.ย.2015 04:30,5.7,187.9,29.9,-,ปกติ
111,8 เม.ย.2015 05:00,4.8,188.2,29.4,-,ปกติ
111,8 เม.ย.2015 05:30,5.7,189.7,28.8,-,ปกติ
111,8 เม.ย.2015 06:00,5.8,190.2,28.6,-,ปกติ
111,8 เม.ย.2015 06:30,5.7,189.4,28.5,-,ปกติ
111,8 เม.ย.2015 07:00,5.7,190.7,28.3,-,ปกติ
111,8 เม.ย.2015 07:30,5.7,189.8,28.0,-,ปกติ
111,8 เม.ย.2015 08:00,5.9,188.8,27.7,-,ปกติ
111,8 เม.ย.2015 08:30,5.9,188.8,27.5,-,ปกติ
111,8 เม.ย.2015 09:00,5.9,188.9,27.3,-,ปกติ
111,8 เม.ย.2015 09:30,5.9,189.1,27.2,-,ปกติ
111,8 เม.ย.2015 10:00,5.9,189.8,27.0,-,ปกติ
111,8 เม.ย.2015 10:30,6.0,190.0,26.8,-,ปกติ
111,8 เม.ย.2015 11:00,6.0,190.9,26.8,-,ปกติ
111,8 เม.ย.2015 11:30,6.0,190.8,26.9,-,ปกติ
111,8 เม.ย.2015 12:00,6.1,190.2,27.2,-,ปกติ
111,8 เม.ย.2015 12:30,6.0,188.2,27.5,-,ปกติ
111,8 เม.ย.2015 13:00,6.0,187.8,27.9,-,ปกติ
111,8 เม.ย.2015 13:30,6.0,183.6,28.4,-,ปกติ
111,8 เม.ย.2015 14:00,6.0,181.0,29.0,-,ปกติ
111,8 เม.ย.2015 14:30,6.0,179.0,29.6,-,ปกติ
111,8 เม.ย.2015 15:00,6.1,176.7,30.3,-,ปกติ
111,8 เม.ย.2015 15:30,6.0,176.5,30.8,-,ปกติ
111,8 เม.ย.2015 16:00,6.0,176.1,31.2,-,ปกติ
111,8 เม.ย.2015 16:30,5.9,176.1,31.5,-,ปกติ
111,8 เม.ย.2015 17:00,5.9,179.1,31.3,-,ปกติ
111,8 เม.ย.2015 17:30,6.0,178.5,31.1,-,ปกติ
111,8 เม.ย.2015 18:00,5.8,179.8,30.8,-,ปกติ
111,8 เม.ย.2015 18:30,5.8,181.3,30.3,-,ปกติ
